unitid,institution_name,state,classification_name,fbs,fcs,no_football,enrollment_thousands,revenue_millions,expense_millions,student_aid_millions,aid_share_of_revenue,gsr,fgr
170976,University of Michigan-Ann Arbor,MI,NCAA Division I-FBS,1,0,0,32.179,221.371145,220.814081,33.285022,0.15035844892973743,96,83
155317,University of Kansas,KS,NCAA Division I-FBS,1,0,0,18.192,215.031889,156.04084,13.912569,0.06470002688763991,90,69
171100,Michigan State University,MI,NCAA Division I-FBS,1,0,0,37.367,164.109191,164.109191,18.332296,0.11170791768755962,90,81
230038,Brigham Young University,UT,NCAA Division I-FBS,1,0,0,29.261,129.891998,115.66665,6.934362,0.053385598087420286,80,72
139755,Georgia Institute of Technology-Main Campus,GA,NCAA Division I-FBS,1,0,0,17.083,128.210764,127.823348,13.858607,0.10809238294531963,94,76
132903,University of Central Florida,FL,NCAA Division I-FBS,1,0,0,41.433,93.417587,90.05582,11.527791,0.12340065045782012,94,60
142115,Boise State University,ID,NCAA Division I-FBS,1,0,0,13.589,59.885466,59.885465,10.990345,0.18352274323122075,96,63
195809,St. John's University-New York,NY,NCAA Division I without football,0,0,1,9.558,53.780439,53.780439,10.100388,0.18780783845963028,93,62
239105,Marquette University,WI,NCAA Division I without football,0,0,1,7.123,46.585799,46.585799,5.82707,0.12508253856502494,99,83
196088,University at Buffalo,NY,NCAA Division I-FBS,1,0,0,18.902,42.271934,42.113971,9.082291,0.21485392648465054,90,64
117946,Loyola Marymount University,CA,NCAA Division I without football,0,0,1,7.035,39.654261,39.654261,11.960852,0.3016284176875721,93,75
203517,Kent State University at Kent,OH,NCAA Division I-FBS,1,0,0,16.575,34.453185,34.453185,7.353991,0.2134488001617267,90,71
198695,High Point University,NC,NCAA Division I without football,0,0,1,4.943,32.794432,27.989156,10.122171,0.30865517048747787,94,67
130226,Quinnipiac University,CT,NCAA Division I without football,0,0,1,6.07,31.702101,31.702101,14.067218,0.4437314107352065,96,80
145813,Illinois State University,IL,NCAA Division I-FCS,0,1,0,17.404,30.786532,30.786532,7.919385,0.2572353716228902,92,70
104717,Grand Canyon University,AZ,NCAA Division I without football,0,0,1,24.995,30.628914,30.628914,5.787571,0.18895776063101682,94,69
200332,North Dakota State University-Main Campus,ND,NCAA Division I-FCS,0,1,0,8.766,30.251922,30.251922,5.18537,0.17140629940801777,92,73
227881,Sam Houston State University,TX,NCAA Division I-FBS,1,0,0,14.533,26.63139,26.567953,6.141437,0.23060895432044667,85,62
179566,Missouri State University-Springfield,MO,NCAA Division I-FCS,0,1,0,11.497,25.259555,25.259555,6.137486,0.24297680620264292,84,69
166513,University of Massachusetts-Lowell,MA,NCAA Division I without football,0,0,1,9.437,23.849995,23.303628,6.841062,0.2868370412656271,95,67
219709,Belmont University,TN,NCAA Division I without football,0,0,1,7.035,22.705462,22.705462,7.360039,0.3241527963623907,97,74
221740,The University of Tennessee-Chattanooga,TN,NCAA Division I-FCS,0,1,0,8.975,22.508082,22.508082,5.414341,0.24055097186868254,84,60
192819,Marist College,NY,NCAA Division I-FCS,0,1,0,4.878,22.301262,22.301262,7.228541,0.3241314774024896,97,84
163462,Mount St. Mary's University,MD,NCAA Division I without football,0,0,1,1.711,19.101249,19.101249,9.577996,0.501432969121548,93,66
152600,Valparaiso University,IN,NCAA Division I-FCS,0,1,0,2.196,16.419261,16.335955,3.984054,0.2426451470623434,93,81
224147,Texas A & M University-Corpus Christi,TX,NCAA Division I without football,0,0,1,5.999,15.904566,15.904566,3.138932,0.1973604309605179,91,53
179557,Southeast Missouri State University,MO,NCAA Division I-FCS,0,1,0,5.846,15.758389,15.758389,4.109574,0.2607864293742209,88,62
227526,Prairie View A & M University,TX,NCAA Division I-FCS,0,1,0,7.862,15.374541,15.374541,3.238643,0.21064973581975552,76,62
160038,Northwestern State University of Louisiana,LA,NCAA Division I-FCS,0,1,0,4.326,15.22854,12.032739,5.416565,0.35568511492237603,85,57
132602,Bethune-Cookman University,FL,NCAA Division I-FCS,0,1,0,2.336,13.65729,13.65729,2.984652,0.2185391098819751,78,39
