institution_name,gsr,fgr
St. John's University-New York,93,62
Marquette University,99,83
Loyola Marymount University,93,75
High Point University,94,67
Quinnipiac University,96,80
Grand Canyon University,94,69
University of Massachusetts-Lowell,95,67
Belmont University,97,74
Mount St. Mary's University,93,66
Texas A & M University-Corpus Christi,91,53
University of Michigan-Ann Arbor,96,83
University of Kansas,90,69
Michigan State University,90,81
Brigham Young University,80,72
Georgia Institute of Technology-Main Campus,94,76
University of Central Florida,94,60
Boise State University,96,63
University at Buffalo,90,64
Kent State University at Kent,90,71
Sam Houston State University,85,62
Illinois State University,92,70
North Dakota State University-Main Campus,92,73
Missouri State University-Springfield,84,69
The University of Tennessee-Chattanooga,84,60
Marist College,97,84
Valparaiso University,93,81
Southeast Missouri State University,88,62
Prairie View A & M University,76,62
Northwestern State University of Louisiana,85,57
Bethune-Cookman University,78,39
