institution_name,conference,subdivision,has_football,sport,conference_fin,subdivision_fin,has_football_fin,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women,wins,losses,ties,cohort_year,gsr,fgr,nil100_player_count,nil100_sum_valuation_estimate,aid_share_of_revenue,revenue_total,expense_total
University of Illinois Urbana-Champaign,Big Ten,P5,1,football,Big Ten,P5,1.0,119.0,,87939659.0,,48001399.0,,9.0,4.0,0.0,2018.0,79.0,62.0,0.0,0.0,0.0859643234168182,87939659.0,48001399.0
University of Illinois Urbana-Champaign,Big Ten,P5,1,basketball,Big Ten,P5,1.0,14.0,26.0,34764436.0,2186498.0,20565967.0,7258435.0,28.0,9.0,0.0,2018.0,55.0,13.0,1.0,2800000.0,0.0859643234168182,36950934.0,27824402.0
University of Illinois Urbana-Champaign,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,,19.0,,652337.0,,2768685.0,13.0,16.0,0.0,2018.0,100.0,69.0,0.0,0.0,0.0859643234168182,652337.0,2768685.0
University of Iowa,Big Ten,P5,1,football,Big Ten,P5,1.0,131.0,,105190203.0,,50894414.0,,9.0,4.0,0.0,2018.0,76.0,53.0,0.0,0.0,0.0954137176425728,105190203.0,50894414.0
University of Iowa,Big Ten,P5,1,basketball,Big Ten,P5,1.0,17.0,29.0,16702408.0,4779406.0,13292250.0,8482645.0,24.0,13.0,0.0,2018.0,88.0,50.0,0.0,0.0,0.0954137176425728,21481814.0,21774895.0
University of Iowa,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,,26.0,,190823.0,,2903001.0,15.0,17.0,0.0,2018.0,86.0,57.0,0.0,0.0,0.0954137176425728,190823.0,2903001.0
Indiana University-Bloomington,Big Ten,P5,1,football,Big Ten,P5,1.0,114.0,,80906601.0,,50207544.0,,16.0,0.0,0.0,2018.0,88.0,67.0,2.0,5000000.0,0.1064573885946987,80906601.0,50207544.0
Indiana University-Bloomington,Big Ten,P5,1,basketball,Big Ten,P5,1.0,19.0,37.0,52276379.0,9293179.0,31818423.0,9293179.0,18.0,14.0,0.0,2018.0,91.0,44.0,3.0,10500000.0,0.1064573885946987,61569558.0,41111602.0
Indiana University-Bloomington,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,,26.0,,2567065.0,,2567065.0,25.0,8.0,0.0,2018.0,93.0,89.0,0.0,0.0,0.1064573885946987,2567065.0,2567065.0
University of Maryland-College Park,Big Ten,P5,1,football,Big Ten,P5,1.0,120.0,,63070858.0,,35502618.0,,4.0,8.0,0.0,2018.0,79.0,60.0,0.0,0.0,0.1439146391778602,63070858.0,35502618.0
University of Maryland-College Park,Big Ten,P5,1,basketball,Big Ten,P5,1.0,15.0,15.0,16464647.0,1401819.0,12972857.0,8236450.0,12.0,21.0,0.0,2018.0,38.0,21.0,0.0,0.0,0.1439146391778602,17866466.0,21209307.0
University of Maryland-College Park,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,,18.0,,812643.0,,2416808.0,8.0,22.0,0.0,2018.0,89.0,78.0,0.0,0.0,0.1439146391778602,812643.0,2416808.0
University of Michigan-Ann Arbor,Big Ten,P5,1,football,Big Ten,P5,1.0,139.0,,175299592.0,,61663186.0,,9.0,4.0,0.0,2018.0,89.0,60.0,2.0,5000000.0,0.1318695379861774,175299592.0,61663186.0
University of Michigan-Ann Arbor,Big Ten,P5,1,basketball,Big Ten,P5,1.0,16.0,36.0,21209886.0,1138510.0,14358515.0,5858899.0,37.0,3.0,0.0,2018.0,100.0,54.0,2.0,6000000.0,0.1318695379861774,22348396.0,20217414.0
University of Michigan-Ann Arbor,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,,23.0,,511857.0,,2949958.0,22.0,11.0,0.0,2018.0,100.0,89.0,0.0,0.0,0.1318695379861774,511857.0,2949958.0
Michigan State University,Big Ten,P5,1,football,Big Ten,P5,1.0,119.0,,77084648.0,,48227813.0,,4.0,8.0,0.0,2018.0,76.0,65.0,0.0,0.0,0.121252796626619,77084648.0,48227813.0
Michigan State University,Big Ten,P5,1,basketball,Big Ten,P5,1.0,16.0,16.0,21818193.0,7247013.0,20566735.0,7247013.0,27.0,8.0,0.0,2018.0,80.0,57.0,0.0,0.0,0.121252796626619,29065206.0,27813748.0
Michigan State University,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,,21.0,,4152418.0,,4152418.0,18.0,12.0,0.0,2018.0,100.0,100.0,0.0,0.0,0.121252796626619,4152418.0,4152418.0
University of Minnesota-Twin Cities,Big Ten,P5,1,football,Big Ten,P5,1.0,117.0,,101726085.0,,45452693.0,,8.0,5.0,0.0,2018.0,87.0,59.0,0.0,0.0,0.1213333876961105,101726085.0,45452693.0
University of Minnesota-Twin Cities,Big Ten,P5,1,basketball,Big Ten,P5,1.0,16.0,21.0,15997942.0,1638813.0,15623863.0,6587319.0,15.0,18.0,0.0,2018.0,90.0,38.0,0.0,0.0,0.1213333876961105,17636755.0,22211182.0
University of Minnesota-Twin Cities,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,,17.0,,1438406.0,,3531550.0,24.0,10.0,0.0,2018.0,100.0,86.0,0.0,0.0,0.1213333876961105,1438406.0,3531550.0
University of Nebraska-Lincoln,Big Ten,P5,1,football,Big Ten,P5,1.0,155.0,,122283973.0,,70574668.0,,7.0,6.0,0.0,2018.0,84.0,63.0,1.0,2000000.0,0.0616856802736296,122283973.0,70574668.0
University of Nebraska-Lincoln,Big Ten,P5,1,basketball,Big Ten,P5,1.0,18.0,50.0,18447339.0,1996767.0,13196203.0,6092105.0,28.0,7.0,0.0,2018.0,91.0,27.0,0.0,0.0,0.0616856802736296,20444106.0,19288308.0
University of Nebraska-Lincoln,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,,17.0,,5453618.0,,6814082.0,33.0,1.0,0.0,2018.0,100.0,55.0,0.0,0.0,0.0616856802736296,5453618.0,6814082.0
Northwestern University,Big Ten,P5,1,football,Big Ten,P5,1.0,109.0,,85587606.0,,37901761.0,,7.0,6.0,0.0,2018.0,99.0,97.0,1.0,1200000.0,0.2119467256291161,85587606.0,37901761.0
Northwestern University,Big Ten,P5,1,basketball,Big Ten,P5,1.0,14.0,16.0,14431898.0,1646018.0,14728871.0,5852067.0,15.0,19.0,0.0,2018.0,100.0,75.0,0.0,0.0,0.2119467256291161,16077916.0,20580938.0
Northwestern University,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,,17.0,,1748005.0,,3537732.0,17.0,15.0,0.0,2018.0,100.0,100.0,0.0,0.0,0.2119467256291161,1748005.0,3537732.0
Ohio State University-Main Campus,Big Ten,P5,1,football,Big Ten,P5,1.0,122.0,,160549826.0,,92359309.0,,12.0,2.0,0.0,2018.0,89.0,60.0,2.0,7500000.0,0.1003236936791644,160549826.0,92359309.0
Ohio State University-Main Campus,Big Ten,P5,1,basketball,Big Ten,P5,1.0,16.0,14.0,23355035.0,7163564.0,13158683.0,7163564.0,21.0,13.0,0.0,2018.0,67.0,19.0,0.0,0.0,0.1003236936791644,30518599.0,20322247.0
Ohio State University-Main Campus,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,19.0,20.0,1498024.0,3161017.0,1498024.0,3161017.0,6.0,22.0,0.0,2018.0,93.0,91.0,0.0,0.0,0.1003236936791644,4659041.0,4659041.0
University of Oregon,Big Ten,P5,1,football,Big Ten,P5,1.0,126.0,,119584907.0,,60847472.0,,13.0,2.0,0.0,2018.0,88.0,65.0,7.0,14500000.0,0.0906150029333026,119584907.0,60847472.0
University of Oregon,Big Ten,P5,1,basketball,Big Ten,P5,1.0,18.0,29.0,11644706.0,1830118.0,14072866.0,6718334.0,12.0,20.0,0.0,2018.0,44.0,13.0,0.0,0.0,0.0906150029333026,13474824.0,20791200.0
University of Oregon,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,,16.0,,906343.0,,2582926.0,17.0,13.0,0.0,2018.0,85.0,69.0,0.0,0.0,0.0906150029333026,906343.0,2582926.0
Pennsylvania State University-Main Campus,Big Ten,P5,1,football,Big Ten,P5,1.0,130.0,,150314572.0,,77386097.0,,7.0,6.0,0.0,2018.0,85.0,65.0,0.0,0.0,0.0957754584975218,150314572.0,77386097.0
Pennsylvania State University-Main Campus,Big Ten,P5,1,basketball,Big Ten,P5,1.0,14.0,13.0,15174250.0,782052.0,14434548.0,5101960.0,12.0,20.0,0.0,2018.0,69.0,50.0,0.0,0.0,0.0957754584975218,15956302.0,19536508.0
Pennsylvania State University-Main Campus,Big Ten,P5,1,volleyball,Big Ten,P5,1.0,20.0,19.0,238463.0,882808.0,1228606.0,3168305.0,19.0,13.0,0.0,2018.0,92.0,58.0,0.0,0.0,0.0957754584975218,1121271.0,4396911.0
Purdue University-Main Campus,Big Ten,P5,1,football,Big Ten,P5,1.0,126.0,,83144029.0,,37193229.0,,2.0,10.0,0.0,2018.0,83.0,61.0,0.0,0.0,0.0852357025865917,83144029.0,37193229.0
Purdue University-Main Campus,Big Ten,P5,1,basketball,Big Ten,P5,1.0,18.0,15.0,20966991.0,8493747.0,14040438.0,4911279.0,30.0,9.0,0.0,2018.0,75.0,50.0,0.0,0.0,0.0852357025865917,29460738.0,18951717.0
