institution_name,conference,subdivision,has_football,sport,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women
University of Illinois Urbana-Champaign,Big Ten,P5,1,football,119.0,,87939659.0,,48001399.0,
University of Iowa,Big Ten,P5,1,football,131.0,,105190203.0,,50894414.0,
Indiana University-Bloomington,Big Ten,P5,1,football,114.0,,80906601.0,,50207544.0,
University of Maryland-College Park,Big Ten,P5,1,football,120.0,,63070858.0,,35502618.0,
University of Michigan-Ann Arbor,Big Ten,P5,1,football,139.0,,175299592.0,,61663186.0,
Michigan State University,Big Ten,P5,1,football,119.0,,77084648.0,,48227813.0,
University of Minnesota-Twin Cities,Big Ten,P5,1,football,117.0,,101726085.0,,45452693.0,
University of Nebraska-Lincoln,Big Ten,P5,1,football,155.0,,122283973.0,,70574668.0,
Northwestern University,Big Ten,P5,1,football,109.0,,85587606.0,,37901761.0,
Ohio State University-Main Campus,Big Ten,P5,1,football,122.0,,160549826.0,,92359309.0,
University of Oregon,Big Ten,P5,1,football,126.0,,119584907.0,,60847472.0,
Pennsylvania State University-Main Campus,Big Ten,P5,1,football,130.0,,150314572.0,,77386097.0,
Purdue University-Main Campus,Big Ten,P5,1,football,126.0,,83144029.0,,37193229.0,
Rutgers University-New Brunswick,Big Ten,P5,1,football,137.0,,75922954.0,,75922954.0,
University of California-Los Angeles,Big Ten,P5,1,football,121.0,,55205071.0,,55205071.0,
University of Southern California,Big Ten,P5,1,football,116.0,,74014972.0,,74014972.0,
University of Washington-Seattle Campus,Big Ten,P5,1,football,114.0,,121018946.0,,68921774.0,
University of Wisconsin-Madison,Big Ten,P5,1,football,122.0,,112319593.0,,40903448.0,
The University of Alabama,SEC,P5,1,football,132.0,,146325227.0,,81502191.0,
University of Arkansas,SEC,P5,1,football,127.0,,90791403.0,,57370871.0,
Auburn University,SEC,P5,1,football,121.0,,121408732.0,,58724402.0,
University of Florida,SEC,P5,1,football,131.0,,113351580.0,,51766013.0,
University of Georgia,SEC,P5,1,football,135.0,,149285887.0,,71107704.0,
University of Kentucky,SEC,P5,1,football,122.0,,43281917.0,,43281917.0,
Louisiana State University and Agricultural & Mechanical College,SEC,P5,1,football,115.0,,117563889.0,,50738587.0,
University of Missouri-Columbia,SEC,P5,1,football,122.0,,53301146.0,,49316139.0,
Mississippi State University,SEC,P5,1,football,110.0,,37575575.0,,37575575.0,
University of Mississippi,SEC,P5,1,football,126.0,,90702621.0,,61846036.0,
University of Oklahoma-Norman Campus,SEC,P5,1,football,128.0,,126247146.0,,71184826.0,
University of South Carolina-Columbia,SEC,P5,1,football,119.0,,76513171.0,,55859501.0,
The University of Tennessee-Knoxville,SEC,P5,1,football,123.0,,162539638.0,,61240437.0,
The University of Texas at Austin,SEC,P5,1,football,118.0,,171892714.0,,70405628.0,
Texas A&M University-College Station,SEC,P5,1,football,146.0,,108474281.0,,60230146.0,
Vanderbilt University,SEC,P5,1,football,116.0,,44124525.0,,44124525.0,
University of Arizona,Big 12,P5,1,football,113.0,,37795880.0,,37795880.0,
Arizona State University Campus Immersion,Big 12,P5,1,football,123.0,,50352139.0,,50352139.0,
Baylor University,Big 12,P5,1,football,118.0,,44260293.0,,41050130.0,
Brigham Young University,Big 12,P5,1,football,135.0,,51715899.0,,44561032.0,
University of Central Florida,Big 12,P5,1,football,120.0,,30085713.0,,38695138.0,
University of Cincinnati-Main Campus,Big 12,P5,1,football,120.0,,30429185.0,,30429185.0,
University of Colorado Boulder,Big 12,P5,1,football,118.0,,69306235.0,,42805019.0,
University of Houston,Big 12,P5,1,football,119.0,,23271364.0,,23271364.0,
Iowa State University,Big 12,P5,1,football,135.0,,60744404.0,,32337385.0,
University of Kansas,Big 12,P5,1,football,122.0,,37107691.0,,34516494.0,
Kansas State University,Big 12,P5,1,football,125.0,,27087822.0,,27087822.0,
Oklahoma State University-Main Campus,Big 12,P5,1,football,136.0,,56992244.0,,32830617.0,
Texas Christian University,Big 12,P5,1,football,130.0,,59568339.0,,59568339.0,
Texas Tech University,Big 12,P5,1,football,123.0,,69872378.0,,39745662.0,
University of Utah,Big 12,P5,1,football,126.0,,95930953.0,,41410554.0,
West Virginia University,Big 12,P5,1,football,127.0,,47642113.0,,35250569.0,
Boston College,ACC,P5,1,football,148.0,,47531226.0,,41224780.0,
University of California-Berkeley,ACC,P5,1,football,120.0,,63954618.0,,46721911.0,
Clemson University,ACC,P5,1,football,137.0,,86902571.0,,81136726.0,
Duke University,ACC,P5,1,football,121.0,,67356450.0,,47363558.0,
Florida State University,ACC,P5,1,football,124.0,,83469718.0,,83267924.0,
Georgia Institute of Technology-Main Campus,ACC,P5,1,football,120.0,,70541041.0,,42709508.0,
University of Louisville,ACC,P5,1,football,120.0,,33090886.0,,30745125.0,
University of Miami,ACC,P5,1,football,127.0,,99864288.0,,88117956.0,
University of North Carolina at Chapel Hill,ACC,P5,1,football,123.0,,63337093.0,,49145749.0,
North Carolina State University at Raleigh,ACC,P5,1,football,125.0,,69756644.0,,40535367.0,
University of Pittsburgh-Pittsburgh Campus,ACC,P5,1,football,118.0,,57222645.0,,47141722.0,
