institution_name,total_aid,Grand Total Revenue,aid_share_of_revenue
University of Illinois Urbana-Champaign,15010418.0,174612181,0.08596432341681821
University of Iowa,17173520.0,179990052,0.09541371764257282
Indiana University-Bloomington,19385441.0,182095778,0.10645738859469878
University of Maryland-College Park,18516362.0,128662116,0.14391463917786024
University of Michigan-Ann Arbor,31170894.0,236376759,0.1318695379861774
Michigan State University,19484982.0,160697176,0.121252796626619
University of Minnesota-Twin Cities,19021913.0,156773938,0.12133338769611056
University of Nebraska-Lincoln,12695377.0,205807522,0.061685680273629646
Northwestern University,27930178.0,131779238,0.21194672562911618
Ohio State University-Main Campus,29622164.0,295265883,0.10032369367916441
University of Oregon,15144397.0,167129024,0.0906150029333026
Pennsylvania State University-Main Campus,24365001.0,254397122,0.09577545849752184
Purdue University-Main Campus,12831069.0,150536320,0.08523570258659173
Rutgers University-New Brunswick,25297337.0,171679918,0.14735175374443038
University of California-Los Angeles,19129205.0,173429394,0.1102996704238037
University of Southern California,28643971.0,234029848,0.12239452037758876
University of Washington-Seattle Campus,18603974.0,178415083,0.10427354956307142
University of Wisconsin-Madison,18628785.0,190503289,0.09778720933264307
The University of Alabama,17188945.0,244551544,0.07028761593097936
University of Arkansas,12574253.0,195879594,0.06419378733243647
Auburn University,18831651.0,205275913,0.09173824013146638
University of Florida,16295859.0,199237539,0.08179110764864446
University of Georgia,12812179.0,233526965,0.054863809838833814
University of Kentucky,17151392.0,186609679,0.09191051660294641
Louisiana State University and Agricultural & Mechanical College,12751357.0,223457268,0.057063961777246826
University of Missouri-Columbia,11396594.0,181114849,0.0629246804606286
Mississippi State University,11371327.0,157301826,0.07228986013169357
University of Mississippi,11677463.0,171119339,0.06824163223304644
University of Oklahoma-Norman Campus,19619031.0,234426470,0.08368948694232353
University of South Carolina-Columbia,13759918.0,204566524,0.0672637816341837
The University of Tennessee-Knoxville,23708468.0,285364027,0.08308148805315255
The University of Texas at Austin,16217249.0,343106827,0.04726588841672917
Texas A&M University-College Station,13321846.0,235498020,0.05656882380582223
Vanderbilt University,21497633.0,146388389,0.14685340242387668
University of Arizona,12761727.0,132661899,0.09619737917365408
Arizona State University Campus Immersion,19572580.0,149346605,0.13105473673137732
Baylor University,20161069.0,144126427,0.13988460978082806
Brigham Young University,9391965.0,153351328,0.06124475818037911
University of Central Florida,12043176.0,108885086,0.1106044587226574
University of Cincinnati-Main Campus,11046371.0,119327103,0.09257218789598873
University of Colorado Boulder,13738845.0,161671803,0.08497984648566083
University of Houston,9377636.0,100162965,0.09362378599714974
Iowa State University,9856392.0,103899204,0.09486494237241702
University of Kansas,14731489.0,173669277,0.0848249572663333
Kansas State University,9424612.0,102982919,0.09151626397383435
Oklahoma State University-Main Campus,7437734.0,153679234,0.04839778157665726
Texas Christian University,25129476.0,155989500,0.16109722769801813
Texas Tech University,7773958.0,128777718,0.06036726011871091
University of Utah,16643646.0,125167576,0.1329709061394622
West Virginia University,11152786.0,117413366,0.09498736285270963
Boston College,27069001.0,142122049,0.19046306460160872
University of California-Berkeley,23138879.0,173116318,0.13366087765337062
Clemson University,14689315.0,186106774,0.07892950205025853
Duke University,30099294.0,181607802,0.16573789048996915
Florida State University,7831248.0,192717172,0.04063596367011861
Georgia Institute of Technology-Main Campus,13350997.0,140430227,0.09507210295971394
University of Louisville,15896536.0,155903308,0.10196407121778327
University of Miami,20583519.0,230484608,0.08930539517849279
University of North Carolina at Chapel Hill,17149342.0,180835031,0.09483418066270578
North Carolina State University at Raleigh,12206946.0,135830733,0.08986880752531903
University of Pittsburgh-Pittsburgh Campus,20112640.0,151337808,0.13289897789453908
Southern Methodist University,26107776.0,150225313,0.1737907911697944
Stanford University,39701051.0,192802320,0.20591583648993436
Syracuse University,23445111.0,120839134,0.19401919083597538
Virginia Polytechnic Institute and State University,20853299.0,151623889,0.13753307039895277
University of Virginia-Main Campus,25330327.0,150622194,0.16817127892852232
Wake Forest University,21451892.0,114628069,0.18714344738721891
University of Notre Dame,31054990.0,289616198,0.10722808397615938
Oregon State University,11242102.0,104767703,0.1073050346441212
Washington State University,11226621.0,82229485,0.13652792547588008
Butler University,6916337.0,36948732,0.18718739793289793
Creighton University,6338425.0,41012865,0.1545472377996514
DePaul University,7298155.0,47676134,0.15307774325829354
Georgetown University,12637610.0,58538782,0.21588440292454325
Marquette University,6513724.0,44620329,0.1459810840928582
Providence College,13626509.0,58732216,0.23201080987647393
Seton Hall University,9261322.0,33011612,0.28054740253217564
St. John's University-New York,11151247.0,77352606,0.1441612322666931
Villanova University,18957459.0,68488700,0.27679688766176025
Xavier University,8882778.0,31800090,0.27933185094759166
Gonzaga University,7496332.0,48229118,0.1554316626731594
Saint Mary's College of California,8929744.0,31979820,0.27923058979068677
University of Denver,15955076.0,58713471,0.2717447244772839
