institution_name,sport,cohort_year,gsr,fgr
University of California-Los Angeles,basketball,2018,63,29
University of Illinois Urbana-Champaign,basketball,2018,55,13
Indiana University-Bloomington,basketball,2018,91,44
University of Iowa,basketball,2018,88,50
University of Maryland-College Park,basketball,2018,38,21
Michigan State University,basketball,2018,80,57
University of Michigan-Ann Arbor,basketball,2018,100,54
University of Minnesota-Twin Cities,basketball,2018,90,38
University of Nebraska-Lincoln,basketball,2018,91,27
Northwestern University,basketball,2018,100,75
Ohio State University-Main Campus,basketball,2018,67,19
University of Oregon,basketball,2018,44,13
Pennsylvania State University-Main Campus,basketball,2018,69,50
Purdue University-Main Campus,basketball,2018,75,50
Rutgers University-New Brunswick,basketball,2018,91,45
University of Southern California,basketball,2018,88,33
University of Washington-Seattle Campus,basketball,2018,100,50
University of Wisconsin-Madison,basketball,2018,80,58
The University of Alabama,basketball,2018,91,50
University of Arkansas,basketball,2018,57,13
Auburn University,basketball,2018,67,22
University of Florida,basketball,2018,100,46
University of Georgia,basketball,2018,50,21
University of Kentucky,basketball,2018,100,0
Louisiana State University and Agricultural & Mechanical College,basketball,2018,33,7
Mississippi State University,basketball,2018,88,31
University of Mississippi,basketball,2018,90,25
University of Missouri-Columbia,basketball,2018,73,29
University of Oklahoma-Norman Campus,basketball,2018,85,50
University of South Carolina-Columbia,basketball,2018,75,21
The University of Tennessee-Knoxville,basketball,2018,100,64
Texas A&M University-College Station,basketball,2018,58,23
The University of Texas at Austin,basketball,2018,73,47
Vanderbilt University,basketball,2018,91,42
Arizona State University Campus Immersion,basketball,2018,100,33
University of Arizona,basketball,2018,56,13
Baylor University,basketball,2018,80,78
Brigham Young University,basketball,2018,92,50
University of Central Florida,basketball,2018,85,63
University of Cincinnati-Main Campus,basketball,2018,90,42
University of Colorado Boulder,basketball,2018,64,38
University of Houston,basketball,2018,100,33
Iowa State University,basketball,2018,82,20
Kansas State University,basketball,2018,80,43
University of Kansas,basketball,2018,82,46
Oklahoma State University-Main Campus,basketball,2018,86,31
Texas Christian University,basketball,2018,50,17
Texas Tech University,basketball,2018,33,10
University of Utah,basketball,2018,67,15
West Virginia University,basketball,2018,100,50
Boston College,basketball,2018,89,29
University of California-Berkeley,basketball,2018,57,21
Clemson University,basketball,2018,100,50
Duke University,basketball,2018,60,25
Florida State University,basketball,2018,100,50
Georgia Institute of Technology-Main Campus,basketball,2018,80,42
University of Louisville,basketball,2018,100,40
University of Miami,basketball,2018,92,67
University of North Carolina at Chapel Hill,basketball,2018,70,54
North Carolina State University at Raleigh,basketball,2018,75,18
University of Notre Dame,basketball,2018,100,75
University of Pittsburgh-Pittsburgh Campus,basketball,2018,88,8
Southern Methodist University,basketball,2018,77,38
Stanford University,basketball,2018,100,86
Syracuse University,basketball,2018,57,23
Virginia Polytechnic Institute and State University,basketball,2018,100,58
University of Virginia-Main Campus,basketball,2018,83,55
Wake Forest University,basketball,2018,80,19
Gonzaga University,basketball,2018,86,40
Oregon State University,basketball,2018,54,33
Saint Mary's College of California,basketball,2018,91,69
Washington State University,basketball,2018,92,40
Butler University,basketball,2018,83,75
Creighton University,basketball,2018,80,42
DePaul University,basketball,2018,60,27
Georgetown University,basketball,2018,63,25
Marquette University,basketball,2018,82,58
Providence College,basketball,2018,82,43
St. John's University-New York,basketball,2018,80,17
Seton Hall University,basketball,2018,100,36
Villanova University,basketball,2018,100,50
Xavier University,basketball,2018,78,40
University of Denver,basketball,2018,100,19
