institution_name,sport,cohort_year,gsr,fgr
University of California-Los Angeles,football,2018,80,69
University of Illinois Urbana-Champaign,football,2018,79,62
Indiana University-Bloomington,football,2018,88,67
University of Iowa,football,2018,76,53
University of Maryland-College Park,football,2018,79,60
Michigan State University,football,2018,76,65
University of Michigan-Ann Arbor,football,2018,89,60
University of Minnesota-Twin Cities,football,2018,87,59
University of Nebraska-Lincoln,football,2018,84,63
Northwestern University,football,2018,99,97
Ohio State University-Main Campus,football,2018,89,60
University of Oregon,football,2018,88,65
Pennsylvania State University-Main Campus,football,2018,85,65
Purdue University-Main Campus,football,2018,83,61
Rutgers University-New Brunswick,football,2018,85,55
University of Southern California,football,2018,85,55
University of Washington-Seattle Campus,football,2018,93,68
University of Wisconsin-Madison,football,2018,94,83
The University of Alabama,football,2018,98,58
University of Arkansas,football,2018,84,62
Auburn University,football,2018,89,61
University of Florida,football,2018,85,42
University of Georgia,football,2018,58,31
University of Kentucky,football,2018,80,49
Louisiana State University and Agricultural & Mechanical College,football,2018,70,44
Mississippi State University,football,2018,92,69
University of Mississippi,football,2018,86,55
University of Missouri-Columbia,football,2018,80,52
University of Oklahoma-Norman Campus,football,2018,78,60
University of South Carolina-Columbia,football,2018,96,61
The University of Tennessee-Knoxville,football,2018,79,49
Texas A&M University-College Station,football,2018,78,53
The University of Texas at Austin,football,2018,77,58
Vanderbilt University,football,2018,90,82
Arizona State University Campus Immersion,football,2018,82,57
University of Arizona,football,2018,88,68
Baylor University,football,2018,91,70
Brigham Young University,football,2018,70,69
University of Central Florida,football,2018,91,52
University of Cincinnati-Main Campus,football,2018,98,69
University of Colorado Boulder,football,2018,87,62
University of Houston,football,2018,73,60
Iowa State University,football,2018,95,69
Kansas State University,football,2018,94,64
University of Kansas,football,2018,83,56
Oklahoma State University-Main Campus,football,2018,88,67
Texas Christian University,football,2018,68,47
Texas Tech University,football,2018,75,49
University of Utah,football,2018,93,75
West Virginia University,football,2018,95,60
Boston College,football,2018,96,80
University of California-Berkeley,football,2018,85,71
Clemson University,football,2018,98,80
Duke University,football,2018,94,87
Florida State University,football,2018,84,54
Georgia Institute of Technology-Main Campus,football,2018,93,70
University of Louisville,football,2018,95,66
University of Miami,football,2018,91,55
University of North Carolina at Chapel Hill,football,2018,89,76
North Carolina State University at Raleigh,football,2018,84,55
University of Pittsburgh-Pittsburgh Campus,football,2018,90,66
Southern Methodist University,football,2018,87,76
Stanford University,football,2018,90,83
Syracuse University,football,2018,77,64
Virginia Polytechnic Institute and State University,football,2018,85,57
University of Virginia-Main Campus,football,2018,95,83
Wake Forest University,football,2018,99,71
Oregon State University,football,2018,86,55
Washington State University,football,2018,80,47
University of Notre Dame,football,2018,98,81
Butler University,football,2018,95,
Georgetown University,football,2018,97,85
Villanova University,football,2018,95,87
