institution_name,sport,cohort_year,gsr,fgr
Butler University,soccer,2018,81,71
Creighton University,soccer,2018,100,33
DePaul University,soccer,2018,78,61
Georgetown University,soccer,2018,100,94
Marquette University,soccer,2018,100,57
Providence College,soccer,2018,100,83
St. John's University-New York,soccer,2018,85,21
Seton Hall University,soccer,2018,93,29
Villanova University,soccer,2018,100,71
Xavier University,soccer,2018,100,71
Gonzaga University,soccer,2018,95,92
Saint Mary's College of California,soccer,2018,94,62
University of Denver,soccer,2018,100,68
