institution_name,sport,cohort_year,gsr,fgr
University of California-Los Angeles,volleyball,2018,100,85
University of Illinois Urbana-Champaign,volleyball,2018,100,69
Indiana University-Bloomington,volleyball,2018,93,89
University of Iowa,volleyball,2018,86,57
University of Maryland-College Park,volleyball,2018,89,78
Michigan State University,volleyball,2018,100,100
University of Michigan-Ann Arbor,volleyball,2018,100,89
University of Minnesota-Twin Cities,volleyball,2018,100,86
University of Nebraska-Lincoln,volleyball,2018,100,55
Northwestern University,volleyball,2018,100,100
Ohio State University-Main Campus,volleyball,2018,93,91
University of Oregon,volleyball,2018,85,69
Pennsylvania State University-Main Campus,volleyball,2018,92,58
Purdue University-Main Campus,volleyball,2018,100,75
Rutgers University-New Brunswick,volleyball,2018,91,46
University of Southern California,volleyball,2018,100,73
University of Washington-Seattle Campus,volleyball,2018,100,100
University of Wisconsin-Madison,volleyball,2018,100,91
The University of Alabama,volleyball,2018,91,55
University of Arkansas,volleyball,2018,100,77
Auburn University,volleyball,2018,100,78
University of Florida,volleyball,2018,100,75
University of Georgia,volleyball,2018,100,92
University of Kentucky,volleyball,2018,100,82
Louisiana State University and Agricultural & Mechanical College,volleyball,2018,100,82
Mississippi State University,volleyball,2018,100,33
University of Mississippi,volleyball,2018,100,92
University of Missouri-Columbia,volleyball,2018,100,71
University of Oklahoma-Norman Campus,volleyball,2018,100,77
University of South Carolina-Columbia,volleyball,2018,100,100
The University of Tennessee-Knoxville,volleyball,2018,100,82
Texas A&M University-College Station,volleyball,2018,100,57
The University of Texas at Austin,volleyball,2018,94,86
Vanderbilt University,volleyball,,,
Arizona State University Campus Immersion,volleyball,2018,90,44
University of Arizona,volleyball,2018,89,43
Baylor University,volleyball,2018,100,89
Brigham Young University,volleyball,2018,90,88
University of Central Florida,volleyball,2018,100,53
University of Cincinnati-Main Campus,volleyball,2018,88,55
University of Colorado Boulder,volleyball,2018,86,36
University of Houston,volleyball,2018,88,67
Iowa State University,volleyball,2018,100,60
Kansas State University,volleyball,2018,100,71
University of Kansas,volleyball,2018,100,75
Oklahoma State University-Main Campus,volleyball,,,
Texas Christian University,volleyball,2018,91,80
Texas Tech University,volleyball,2018,93,64
University of Utah,volleyball,2018,100,75
West Virginia University,volleyball,2018,100,50
Boston College,volleyball,2018,100,86
University of California-Berkeley,volleyball,2018,100,100
Clemson University,volleyball,2018,100,81
Duke University,volleyball,2018,100,82
Florida State University,volleyball,2018,100,63
Georgia Institute of Technology-Main Campus,volleyball,2018,100,82
University of Louisville,volleyball,2018,100,75
University of Miami,volleyball,2018,100,69
University of North Carolina at Chapel Hill,volleyball,2018,100,44
North Carolina State University at Raleigh,volleyball,2018,100,80
University of Pittsburgh-Pittsburgh Campus,volleyball,2018,100,82
Southern Methodist University,volleyball,2018,92,64
Stanford University,volleyball,2018,100,100
Syracuse University,volleyball,2018,100,90
Virginia Polytechnic Institute and State University,volleyball,2018,91,80
University of Virginia-Main Campus,volleyball,2018,100,91
Wake Forest University,volleyball,2018,100,69
University of Notre Dame,volleyball,2018,100,90
Gonzaga University,volleyball,2018,100,89
Oregon State University,volleyball,2018,100,67
Saint Mary's College of California,volleyball,2018,92,82
Washington State University,volleyball,2018,100,73
Butler University,volleyball,2018,79,58
Creighton University,volleyball,2018,100,73
DePaul University,volleyball,2018,86,82
Georgetown University,volleyball,2018,100,100
Marquette University,volleyball,2018,100,69
Providence College,volleyball,2018,100,75
St. John's University-New York,volleyball,2018,100,73
Seton Hall University,volleyball,2018,100,100
Villanova University,volleyball,2018,100,100
Xavier University,volleyball,2018,100,70
University of Denver,volleyball,2018,100,73
