school_slug,sport,nil100_player_count,nil100_sum_valuation_estimate,source_note
miami-hurricanes,football,6,15500000,On3 NIL 100 estimate; individual player valuations top 100 nationally per sport; dated 2026-08-30; ESTIMATE not verified spend
oregon-ducks,football,7,14500000,On3 NIL 100 estimate
ohio-state-buckeyes,football,2,7500000,On3 NIL 100 estimate
ole-miss-rebels,football,5,10100000,On3 NIL 100 estimate
lsu-tigers,football,7,14200000,On3 NIL 100 estimate
washington-huskies,football,1,4000000,On3 NIL 100 estimate
indiana-hoosiers,football,2,5000000,On3 NIL 100 estimate
oklahoma-state-cowboys,football,2,4500000,On3 NIL 100 estimate
michigan-wolverines,football,2,5000000,On3 NIL 100 estimate
pittsburgh-panthers,football,1,3000000,On3 NIL 100 estimate
california-golden-bears,football,1,3000000,On3 NIL 100 estimate
smu-mustangs,football,2,4000000,On3 NIL 100 estimate
texas-longhorns,football,9,15000000,On3 NIL 100 estimate
texas-am-aggies,football,2,4000000,On3 NIL 100 estimate
notre-dame-fighting-irish,football,4,6700000,On3 NIL 100 estimate
auburn-tigers,football,1,3000000,On3 NIL 100 estimate
tennessee-volunteers,football,3,5300000,On3 NIL 100 estimate
alabama-crimson-tide,football,3,4800000,On3 NIL 100 estimate
utah-utes,football,1,2000000,On3 NIL 100 estimate
vanderbilt-commodores,football,1,2000000,On3 NIL 100 estimate
byu-cougars,football,1,2000000,On3 NIL 100 estimate
texas-tech-red-raiders,football,3,4500000,On3 NIL 100 estimate
kentucky-wildcats,football,3,5000000,On3 NIL 100 estimate
virginia-tech-hokies,football,1,2000000,On3 NIL 100 estimate
south-carolina-gamecocks,football,3,5000000,On3 NIL 100 estimate
kansas-state-wildcats,football,3,5200000,On3 NIL 100 estimate
nc-state-wolfpack,football,1,2000000,On3 NIL 100 estimate
louisville-cardinals,football,2,3000000,On3 NIL 100 estimate
ucla-bruins,football,1,2000000,On3 NIL 100 estimate
missouri-tigers,football,3,4000000,On3 NIL 100 estimate
arizona-wildcats,football,1,2000000,On3 NIL 100 estimate
baylor-bears,football,1,2000000,On3 NIL 100 estimate
georgia-bulldogs,football,1,2000000,On3 NIL 100 estimate
nebraska-cornhuskers,football,1,2000000,On3 NIL 100 estimate
virginia-cavaliers,football,1,1500000,On3 NIL 100 estimate
usc-trojans,football,3,3500000,On3 NIL 100 estimate
oklahoma-sooners,football,1,1500000,On3 NIL 100 estimate
arizona-state-sun-devils,football,1,1500000,On3 NIL 100 estimate
mississippi-state-bulldogs,football,1,1500000,On3 NIL 100 estimate
tcu-horned-frogs,football,1,1500000,On3 NIL 100 estimate
northwestern-wildcats,football,1,1200000,On3 NIL 100 estimate
syracuse-orange,football,1,1000000,On3 NIL 100 estimate
clemson-tigers,football,1,1000000,On3 NIL 100 estimate
kentucky-wildcats,basketball,3,12200000,On3 NIL 100 estimate
louisville-cardinals,basketball,2,9000000,On3 NIL 100 estimate
kansas-jayhawks,basketball,1,5000000,On3 NIL 100 estimate
florida-gators,basketball,1,5000000,On3 NIL 100 estimate
st-johns-red-storm,basketball,2,8200000,On3 NIL 100 estimate
gonzaga-bulldogs,basketball,1,5000000,On3 NIL 100 estimate
indiana-hoosiers,basketball,3,10500000,On3 NIL 100 estimate
texas-am-aggies,basketball,1,4000000,On3 NIL 100 estimate
duke-blue-devils,basketball,1,4000000,On3 NIL 100 estimate
miami-hurricanes,basketball,2,7000000,On3 NIL 100 estimate
tennessee-volunteers,basketball,3,10000000,On3 NIL 100 estimate
texas-longhorns,basketball,2,7500000,On3 NIL 100 estimate
marquette-golden-eagles,basketball,1,4000000,On3 NIL 100 estimate
texas-tech-red-raiders,basketball,2,7000000,On3 NIL 100 estimate
north-carolina-tar-heels,basketball,3,8500000,On3 NIL 100 estimate
providence-friars,basketball,1,3000000,On3 NIL 100 estimate
villanova-wildcats,basketball,1,3000000,On3 NIL 100 estimate
arizona-state-sun-devils,basketball,1,3000000,On3 NIL 100 estimate
michigan-wolverines,basketball,2,6000000,On3 NIL 100 estimate
illinois-fighting-illini,basketball,1,2800000,On3 NIL 100 estimate
creighton-bluejays,basketball,1,2700000,On3 NIL 100 estimate
houston-cougars,basketball,1,2500000,On3 NIL 100 estimate
arkansas-razorbacks,basketball,1,2500000,On3 NIL 100 estimate
baylor-bears,basketball,1,2500000,On3 NIL 100 estimate
west-virginia-mountaineers,basketball,1,2500000,On3 NIL 100 estimate
usc-trojans,basketball,1,2000000,On3 NIL 100 estimate
smu-mustangs,basketball,1,500000,On3 NIL 100 estimate
