institution_name,conference,subdivision,has_football,football_note
University of Illinois Urbana-Champaign,Big Ten,P5,1,
University of Iowa,Big Ten,P5,1,
Indiana University-Bloomington,Big Ten,P5,1,
University of Maryland-College Park,Big Ten,P5,1,
University of Michigan-Ann Arbor,Big Ten,P5,1,
Michigan State University,Big Ten,P5,1,
University of Minnesota-Twin Cities,Big Ten,P5,1,
University of Nebraska-Lincoln,Big Ten,P5,1,
Northwestern University,Big Ten,P5,1,
Ohio State University-Main Campus,Big Ten,P5,1,
University of Oregon,Big Ten,P5,1,
Pennsylvania State University-Main Campus,Big Ten,P5,1,
Purdue University-Main Campus,Big Ten,P5,1,
Rutgers University-New Brunswick,Big Ten,P5,1,
University of California-Los Angeles,Big Ten,P5,1,
University of Southern California,Big Ten,P5,1,
University of Washington-Seattle Campus,Big Ten,P5,1,
University of Wisconsin-Madison,Big Ten,P5,1,
The University of Alabama,SEC,P5,1,
University of Arkansas,SEC,P5,1,
Auburn University,SEC,P5,1,
University of Florida,SEC,P5,1,
University of Georgia,SEC,P5,1,
University of Kentucky,SEC,P5,1,
Louisiana State University and Agricultural & Mechanical College,SEC,P5,1,
University of Missouri-Columbia,SEC,P5,1,
Mississippi State University,SEC,P5,1,
University of Mississippi,SEC,P5,1,
University of Oklahoma-Norman Campus,SEC,P5,1,
University of South Carolina-Columbia,SEC,P5,1,
The University of Tennessee-Knoxville,SEC,P5,1,
The University of Texas at Austin,SEC,P5,1,
Texas A&M University-College Station,SEC,P5,1,
Vanderbilt University,SEC,P5,1,
University of Arizona,Big 12,P5,1,
Arizona State University Campus Immersion,Big 12,P5,1,
Baylor University,Big 12,P5,1,
Brigham Young University,Big 12,P5,1,
University of Central Florida,Big 12,P5,1,
University of Cincinnati-Main Campus,Big 12,P5,1,
University of Colorado Boulder,Big 12,P5,1,
University of Houston,Big 12,P5,1,
Iowa State University,Big 12,P5,1,
University of Kansas,Big 12,P5,1,
Kansas State University,Big 12,P5,1,
Oklahoma State University-Main Campus,Big 12,P5,1,
Texas Christian University,Big 12,P5,1,
Texas Tech University,Big 12,P5,1,
University of Utah,Big 12,P5,1,
West Virginia University,Big 12,P5,1,
Boston College,ACC,P5,1,
University of California-Berkeley,ACC,P5,1,
Clemson University,ACC,P5,1,
Duke University,ACC,P5,1,
Florida State University,ACC,P5,1,
Georgia Institute of Technology-Main Campus,ACC,P5,1,
University of Louisville,ACC,P5,1,
University of Miami,ACC,P5,1,
University of North Carolina at Chapel Hill,ACC,P5,1,
North Carolina State University at Raleigh,ACC,P5,1,
University of Pittsburgh-Pittsburgh Campus,ACC,P5,1,
Southern Methodist University,ACC,P5,1,
Stanford University,ACC,P5,1,
Syracuse University,ACC,P5,1,
Virginia Polytechnic Institute and State University,ACC,P5,1,
University of Virginia-Main Campus,ACC,P5,1,
Wake Forest University,ACC,P5,1,
University of Notre Dame,ACC,P5,1,football is FBS independent; ACC for all other sports including basketball and volleyball; football revenue/wins tracked separately and not attributed to ACC
Oregon State University,Pac-12,P5,1,
Washington State University,Pac-12,P5,1,
Butler University,Big East,non-P5,1,real FCS program (Pioneer Football League) confirmed in EADA data; not a Big East sport
Creighton University,Big East,non-P5,0,
DePaul University,Big East,non-P5,0,
Georgetown University,Big East,non-P5,1,real FCS program (Patriot League) confirmed in EADA data; not a Big East sport
Marquette University,Big East,non-P5,0,
Providence College,Big East,non-P5,0,
Seton Hall University,Big East,non-P5,0,
St. John's University-New York,Big East,non-P5,0,
Villanova University,Big East,non-P5,1,real FCS program (CAA) confirmed in EADA data; not a Big East sport
Xavier University,Big East,non-P5,0,
Gonzaga University,WCC,non-P5,0,
Saint Mary's College of California,WCC,non-P5,0,
University of Denver,Summit League,non-P5,0,
