institution,sport,wins,losses,season,source_note
Michigan,basketball,37,3,2025-26,Big Ten
Nebraska,basketball,28,7,2025-26,Big Ten
Illinois,basketball,28,9,2025-26,Big Ten
Michigan State,basketball,27,8,2025-26,Big Ten
Wisconsin,basketball,24,11,2025-26,Big Ten
Purdue,basketball,30,9,2025-26,Big Ten
UCLA,basketball,24,12,2025-26,Big Ten
Ohio State,basketball,21,13,2025-26,Big Ten
Iowa,basketball,24,13,2025-26,Big Ten
Indiana,basketball,18,14,2025-26,Big Ten
Minnesota,basketball,15,18,2025-26,Big Ten
USC,basketball,18,14,2025-26,Big Ten
Washington,basketball,16,17,2025-26,Big Ten
Rutgers,basketball,14,20,2025-26,Big Ten
Northwestern,basketball,15,19,2025-26,Big Ten
Oregon,basketball,12,20,2025-26,Big Ten
Maryland,basketball,12,21,2025-26,Big Ten
Penn State,basketball,12,20,2025-26,Big Ten
Alabama,basketball,25,10,2025-26,SEC
Arkansas,basketball,28,9,2025-26,SEC
Auburn,basketball,22,16,2025-26,SEC
Florida,basketball,27,8,2025-26,SEC
Georgia,basketball,22,11,2025-26,SEC
Kentucky,basketball,22,14,2025-26,SEC
LSU,basketball,15,17,2025-26,SEC
Mississippi State,basketball,13,19,2025-26,SEC
Missouri,basketball,20,13,2025-26,SEC
Oklahoma,basketball,21,16,2025-26,SEC
Ole Miss,basketball,15,20,2025-26,SEC
South Carolina,basketball,13,19,2025-26,SEC
Tennessee,basketball,25,12,2025-26,SEC
Texas,basketball,21,15,2025-26,SEC
Texas A&M,basketball,22,12,2025-26,SEC
Vanderbilt,basketball,27,9,2025-26,SEC
Arizona,basketball,36,3,2025-26,Big 12
Houston,basketball,30,7,2025-26,Big 12
Kansas,basketball,24,11,2025-26,Big 12
Texas Tech,basketball,23,11,2025-26,Big 12
Iowa State,basketball,29,8,2025-26,Big 12
TCU,basketball,23,12,2025-26,Big 12
West Virginia,basketball,21,14,2025-26,Big 12
UCF,basketball,21,12,2025-26,Big 12
Cincinnati,basketball,18,15,2025-26,Big 12
BYU,basketball,23,12,2025-26,Big 12
Colorado,basketball,17,16,2025-26,Big 12
Arizona State,basketball,17,16,2025-26,Big 12
Baylor,basketball,17,17,2025-26,Big 12
Oklahoma State,basketball,20,15,2025-26,Big 12
Kansas State,basketball,12,20,2025-26,Big 12
Utah,basketball,10,22,2025-26,Big 12
Duke,basketball,35,3,2025-26,ACC
Virginia,basketball,30,6,2025-26,ACC
Miami (FL),basketball,26,9,2025-26,ACC
North Carolina,basketball,24,9,2025-26,ACC
Clemson,basketball,24,11,2025-26,ACC
Louisville,basketball,24,11,2025-26,ACC
North Carolina State,basketball,20,14,2025-26,ACC
Florida State,basketball,18,15,2025-26,ACC
California,basketball,22,12,2025-26,ACC
Stanford,basketball,20,13,2025-26,ACC
SMU,basketball,20,14,2025-26,ACC
Virginia Tech,basketball,19,13,2025-26,ACC
Wake Forest,basketball,18,17,2025-26,ACC
Syracuse,basketball,15,17,2025-26,ACC
Pittsburgh,basketball,13,20,2025-26,ACC
Notre Dame,basketball,13,18,2025-26,ACC
Boston College,basketball,11,20,2025-26,ACC
Georgia Tech,basketball,11,20,2025-26,ACC
Oregon State,basketball,20,13,2025-26,WCC (basketball affiliate; Pac-12 primary)
Washington State,basketball,12,20,2025-26,WCC (basketball affiliate; Pac-12 primary)
St. John's,basketball,30,7,2025-26,Big East
Villanova,basketball,24,9,2025-26,Big East
Seton Hall,basketball,21,12,2025-26,Big East
Creighton,basketball,16,18,2025-26,Big East
DePaul,basketball,16,16,2025-26,Big East
Marquette,basketball,12,20,2025-26,Big East
Butler,basketball,16,16,2025-26,Big East
Providence,basketball,15,18,2025-26,Big East
Xavier,basketball,15,18,2025-26,Big East
Georgetown,basketball,16,18,2025-26,Big East
Gonzaga,basketball,31,4,2025-26,WCC
Saint Mary's,basketball,27,6,2025-26,WCC
Denver,basketball,15,16,2025-26,Summit League
