institution,sport,wins,losses,season,source_note
Indiana,football,16,0,2025,Big Ten conference season (CFP run)
Ohio State,football,12,2,2025,Big Ten
Oregon,football,13,2,2025,Big Ten
Michigan,football,9,4,2025,Big Ten
USC,football,9,4,2025,Big Ten
Iowa,football,9,4,2025,Big Ten
Illinois,football,9,4,2025,Big Ten
Washington,football,9,4,2025,Big Ten
Minnesota,football,8,5,2025,Big Ten
Nebraska,football,7,6,2025,Big Ten
Northwestern,football,7,6,2025,Big Ten
Penn State,football,7,6,2025,Big Ten
UCLA,football,3,9,2025,Big Ten
Rutgers,football,5,7,2025,Big Ten
Wisconsin,football,4,8,2025,Big Ten
Maryland,football,4,8,2025,Big Ten
Michigan State,football,4,8,2025,Big Ten
Purdue,football,2,10,2025,Big Ten
Ole Miss,football,13,2,2025,SEC
Georgia,football,12,2,2025,SEC
Texas A&M,football,11,2,2025,SEC
Alabama,football,11,4,2025,SEC
Texas,football,10,3,2025,SEC
Oklahoma,football,10,3,2025,SEC
Vanderbilt,football,10,3,2025,SEC
Tennessee,football,8,5,2025,SEC
Missouri,football,8,5,2025,SEC
LSU,football,7,6,2025,SEC
Kentucky,football,5,7,2025,SEC
Florida,football,4,8,2025,SEC
Auburn,football,5,7,2025,SEC
Mississippi State,football,5,8,2025,SEC
South Carolina,football,4,8,2025,SEC
Arkansas,football,2,10,2025,SEC
Texas Tech,football,12,2,2025,Big 12
BYU,football,12,2,2025,Big 12
Utah,football,11,2,2025,Big 12
Houston,football,10,3,2025,Big 12
Arizona,football,9,4,2025,Big 12
Arizona State,football,8,5,2025,Big 12
TCU,football,9,4,2025,Big 12
Iowa State,football,8,4,2025,Big 12
Cincinnati,football,7,6,2025,Big 12
Kansas State,football,6,6,2025,Big 12
Kansas,football,5,7,2025,Big 12
Baylor,football,5,7,2025,Big 12
UCF,football,5,7,2025,Big 12
West Virginia,football,4,8,2025,Big 12
Colorado,football,3,9,2025,Big 12
Oklahoma State,football,1,11,2025,Big 12
Virginia,football,11,3,2025,ACC
Miami (FL),football,13,3,2025,ACC
SMU,football,9,4,2025,ACC
Georgia Tech,football,9,4,2025,ACC
Duke,football,9,5,2025,ACC
Pittsburgh,football,8,5,2025,ACC
Louisville,football,9,4,2025,ACC
Wake Forest,football,9,4,2025,ACC
North Carolina State,football,8,5,2025,ACC
Clemson,football,7,6,2025,ACC
California,football,7,6,2025,ACC
Stanford,football,4,8,2025,ACC
Florida State,football,5,7,2025,ACC
North Carolina,football,4,8,2025,ACC
Virginia Tech,football,3,9,2025,ACC
Syracuse,football,3,9,2025,ACC
Boston College,football,2,10,2025,ACC
Notre Dame,football,10,2,2025,FBS Independent
Washington State,football,7,6,2025,Pac-12
Oregon State,football,2,10,2025,Pac-12
Butler,football,6,6,2025,Pioneer Football League (FCS)
Georgetown,football,6,6,2025,Patriot League (FCS)
Villanova,football,12,3,2025,CAA (FCS)
