institution,sport,wins,losses,season,source_note
Nebraska,volleyball,33,1,2025,Big Ten; NCAA official stats
Wisconsin,volleyball,28,5,2025,Big Ten
Purdue,volleyball,27,7,2025,Big Ten
USC,volleyball,25,7,2025,Big Ten
Indiana,volleyball,25,8,2025,Big Ten
Minnesota,volleyball,24,10,2025,Big Ten
Penn State,volleyball,19,13,2025,Big Ten
UCLA,volleyball,19,13,2025,Big Ten
Michigan,volleyball,22,11,2025,Big Ten
Illinois,volleyball,13,16,2025,Big Ten
Michigan State,volleyball,18,12,2025,Big Ten
Oregon,volleyball,17,13,2025,Big Ten
Northwestern,volleyball,17,15,2025,Big Ten
Washington,volleyball,13,17,2025,Big Ten
Iowa,volleyball,15,17,2025,Big Ten
Ohio State,volleyball,6,22,2025,Big Ten
Rutgers,volleyball,12,20,2025,Big Ten
Maryland,volleyball,8,22,2025,Big Ten
Kentucky,volleyball,30,3,2025,SEC
Texas A&M,volleyball,29,4,2025,SEC
Texas,volleyball,26,4,2025,SEC
Tennessee,volleyball,20,8,2025,SEC
Georgia,volleyball,16,10,2025,SEC
Mississippi State,volleyball,16,10,2025,SEC
Auburn,volleyball,17,11,2025,SEC
Missouri,volleyball,17,11,2025,SEC
Oklahoma,volleyball,16,11,2025,SEC
Florida,volleyball,16,12,2025,SEC
Alabama,volleyball,14,13,2025,SEC
Ole Miss,volleyball,14,15,2025,SEC
LSU,volleyball,13,14,2025,SEC
South Carolina,volleyball,10,16,2025,SEC
Vanderbilt,volleyball,9,18,2025,SEC; program reinstated for 2025 season (no AY2023-24 EADA financial data since program did not exist that year)
Arkansas,volleyball,5,22,2025,SEC
Arizona State,volleyball,28,4,2025,Big 12
Iowa State,volleyball,23,8,2025,Big 12
Colorado,volleyball,23,9,2025,Big 12
BYU,volleyball,22,9,2025,Big 12
Kansas,volleyball,24,11,2025,Big 12
TCU,volleyball,21,11,2025,Big 12
Baylor,volleyball,18,10,2025,Big 12
Kansas State,volleyball,18,10,2025,Big 12
UCF,volleyball,17,12,2025,Big 12
Arizona,volleyball,17,13,2025,Big 12
Cincinnati,volleyball,15,13,2025,Big 12
Utah,volleyball,15,15,2025,Big 12
West Virginia,volleyball,15,15,2025,Big 12
Texas Tech,volleyball,10,20,2025,Big 12
Houston,volleyball,9,20,2025,Big 12
Oklahoma State,volleyball,NA,NA,2025,confirmed no sponsored program (matches AY2023-24 EADA gap)
Pittsburgh,volleyball,30,5,2025,ACC
Stanford,volleyball,29,5,2025,ACC
Miami (FL),volleyball,27,6,2025,ACC
SMU,volleyball,27,6,2025,ACC
Louisville,volleyball,26,7,2025,ACC
North Carolina,volleyball,22,9,2025,ACC
Clemson,volleyball,18,14,2025,ACC
Florida State,volleyball,16,13,2025,ACC
Georgia Tech,volleyball,16,14,2025,ACC
Boston College,volleyball,16,16,2025,ACC
Wake Forest,volleyball,15,16,2025,ACC
Syracuse,volleyball,13,17,2025,ACC
Virginia Tech,volleyball,12,19,2025,ACC
California,volleyball,9,21,2025,ACC
Duke,volleyball,5,26,2025,ACC
Virginia,volleyball,13,17,2025,ACC
Notre Dame,volleyball,12,16,2025,ACC
North Carolina State,volleyball,NA,NA,2025,confirmed no sponsored program (dropped volleyball; matches AY2023-24 EADA gap)
Washington State,volleyball,17,11,2025,WCC affiliate (Pac-12 primary)
Oregon State,volleyball,19,9,2025,WCC affiliate (Pac-12 primary)
Xavier,volleyball,26,5,2025,Big East
Creighton,volleyball,28,6,2025,Big East
Villanova,volleyball,20,8,2025,Big East
Marquette,volleyball,18,11,2025,Big East
DePaul,volleyball,14,13,2025,Big East
Georgetown,volleyball,14,15,2025,Big East
Butler,volleyball,12,17,2025,Big East
Providence,volleyball,12,17,2025,Big East
St. John's,volleyball,10,19,2025,Big East
Seton Hall,volleyball,6,21,2025,Big East
Gonzaga,volleyball,14,15,2025,WCC
Saint Mary's,volleyball,11,18,2025,WCC
Denver,volleyball,17,11,2025,Summit League
