unitid,institution_name,state,classification_name,fbs,fcs,no_football,enrollment_thousands,revenue_millions,expense_millions,student_aid_millions,aid_share_of_revenue,gsr,fgr,ln_revenue
170976,University of Michigan-Ann Arbor,MI,NCAA Division I-FBS,1,0,0,32.179001,221.37114,220.81409,33.285023,.15035845,96,83,5.3998408
155317,University of Kansas,KS,NCAA Division I-FBS,1,0,0,18.191999,215.03189,156.04083,13.912569,.06470003,90,69,5.3707862
171100,Michigan State University,MI,NCAA Division I-FBS,1,0,0,37.367001,164.10919,164.10919,18.332296,.11170792,90,81,5.1005321
230038,Brigham Young University,UT,NCAA Division I-FBS,1,0,0,29.261,129.892,115.66665,6.9343619,.053385597,80,72,4.8667035
139755,Georgia Institute of Technology-Main Campus,GA,NCAA Division I-FBS,1,0,0,17.083,128.21077,127.82335,13.858607,.10809238,94,76,4.8536754
132903,University of Central Florida,FL,NCAA Division I-FBS,1,0,0,41.432999,93.417587,90.055817,11.527791,.12340065,94,60,4.5370798
142115,Boise State University,ID,NCAA Division I-FBS,1,0,0,13.589,59.885468,59.885464,10.990345,.18352275,96,63,4.0924339
195809,St. John's University-New York,NY,NCAA Division I without football,0,0,1,9.5579996,53.780437,53.780437,10.100388,.18780784,93,62,3.9849098
239105,Marquette University,WI,NCAA Division I without football,0,0,1,7.1230001,46.5858,46.5858,5.8270702,.12508254,99,83,3.8412957
196088,University at Buffalo,NY,NCAA Division I-FBS,1,0,0,18.902,42.271935,42.113972,9.0822906,.21485393,90,64,3.7441235
117946,Loyola Marymount University,CA,NCAA Division I without football,0,0,1,7.0349998,39.654263,39.654263,11.960852,.30162841,93,75,3.6801984
203517,Kent State University at Kent,OH,NCAA Division I-FBS,1,0,0,16.575001,34.453186,34.453186,7.353991,.21344881,90,71,3.5396016
198695,High Point University,NC,NCAA Division I without football,0,0,1,4.9429998,32.794434,27.989157,10.122171,.30865517,94,67,3.4902587
130226,Quinnipiac University,CT,NCAA Division I without football,0,0,1,6.0700002,31.702101,31.702101,14.067218,.4437314,96,80,3.456383
145813,Illinois State University,IL,NCAA Division I-FCS,0,1,0,17.403999,30.786531,30.786531,7.919385,.25723538,92,70,3.4270773
104717,Grand Canyon University,AZ,NCAA Division I without football,0,0,1,24.995001,30.628914,30.628914,5.787571,.18895777,94,69,3.4219444
200332,North Dakota State University-Main Campus,ND,NCAA Division I-FCS,0,1,0,8.7659998,30.251923,30.251923,5.18537,.1714063,92,73,3.4095597
227881,Sam Houston State University,TX,NCAA Division I-FBS,1,0,0,14.533,26.63139,26.567953,6.1414371,.23060896,85,62,3.2820907
179566,Missouri State University-Springfield,MO,NCAA Division I-FCS,0,1,0,11.497,25.259556,25.259556,6.137486,.2429768,84,69,3.2292044
166513,University of Massachusetts-Lowell,MA,NCAA Division I without football,0,0,1,9.4370003,23.849995,23.303629,6.8410621,.28683704,95,67,3.1717839
219709,Belmont University,TN,NCAA Division I without football,0,0,1,7.0349998,22.705462,22.705462,7.3600392,.3241528,97,74,3.1226056
221740,The University of Tennessee-Chattanooga,TN,NCAA Division I-FCS,0,1,0,8.9750004,22.508081,22.508081,5.414341,.24055097,84,60,3.1138744
192819,Marist College,NY,NCAA Division I-FCS,0,1,0,4.8779998,22.301262,22.301262,7.2285409,.32413149,97,84,3.1046433
163462,Mount St. Mary's University,MD,NCAA Division I without football,0,0,1,1.711,19.10125,19.10125,9.5779963,.50143296,93,66,2.9497538
152600,Valparaiso University,IN,NCAA Division I-FCS,0,1,0,2.1960001,16.419262,16.335955,3.9840541,.24264514,93,81,2.7984552
224147,Texas A & M University-Corpus Christi,TX,NCAA Division I without football,0,0,1,5.9990001,15.904566,15.904566,3.138932,.19736043,91,53,2.7666063
179557,Southeast Missouri State University,MO,NCAA Division I-FCS,0,1,0,5.8460002,15.758389,15.758389,4.1095738,.26078644,88,62,2.7573729
227526,Prairie View A & M University,TX,NCAA Division I-FCS,0,1,0,7.862,15.374541,15.374541,3.2386429,.21064973,76,62,2.732713
160038,Northwestern State University of Louisiana,LA,NCAA Division I-FCS,0,1,0,4.3260002,15.22854,12.032739,5.4165649,.35568511,85,57,2.7231712
132602,Bethune-Cookman University,FL,NCAA Division I-FCS,0,1,0,2.336,13.65729,13.65729,2.984652,.2185391,78,39,2.6142735
